what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.rse.services,3.0.1.v200809091230,org.eclipse.rse.services,1232719624215
started,bundle,org.eclipse.rse.core,3.0.1.v200809111820,org.eclipse.rse.core,1232719624270
started,bundle,org.eclipse.rse.ui,3.0.1.v200809041200,org.eclipse.rse.ui,1232719629804
started,bundle,org.eclipse.rse.subsystems.files.core,3.0.1.v200809041200,org.eclipse.rse.subsystems.files.core,1232719629806
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.0.v20080604,org.eclipse.rse.subsystems.files.local,1232719629808
started,bundle,org.eclipse.rse.importexport,1.1.0.v20080604,org.eclipse.rse.importexport,1232719629849
started,bundle,org.eclipse.rse.subsystems.shells.core,3.0.0.v20080604,org.eclipse.rse.subsystems.shells.core,1232719629887
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.0.v20080604,org.eclipse.rse.subsystems.shells.local,1232719629889
started,bundle,org.eclipse.rse.connectorservice.local,2.1.0.v20080604,org.eclipse.rse.connectorservice.local,1232719629977
started,bundle,org.eclipse.rse.services.local,2.1.1.v20080710,org.eclipse.rse.services.local,1232719629982
started,bundle,org.eclipse.rse.files.ui,3.0.1.v200809171600,org.eclipse.rse.files.ui,1232719638361
started,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.0.v200809110140,org.eclipse.rse.subsystems.files.dstore,1232719638418
started,bundle,org.eclipse.dstore.core,3.0.1.v200809110140,org.eclipse.dstore.core,1232719638439
started,bundle,org.eclipse.rse.subsystems.files.ftp,2.1.0.v20080609,org.eclipse.rse.subsystems.files.ftp,1232719638454
started,bundle,org.eclipse.rse.subsystems.files.ssh,2.1.0.v20080604,org.eclipse.rse.subsystems.files.ssh,1232719638475
started,bundle,org.eclipse.rse.services.ssh,2.1.1.v20080714,org.eclipse.rse.services.ssh,1232719638476
started,bundle,org.eclipse.jst.servlet.ui,1.1.202.v200809102205,org.eclipse.jst.servlet.ui,1232719638938
started,bundle,org.eclipse.jst.j2ee.ui,1.1.203.v200809102205,org.eclipse.jst.j2ee.ui,1232719639469
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232719645481
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1232719645499
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232719650895
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232719680225
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1232719680240
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232719684969
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232719734039
