what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720830609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720839633
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720852040
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720860377
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.export,1232720860390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720863058
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720865062
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1232720865071
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720868957
started,bundle,org.eclipse.jst.servlet.ui,1.1.202.v200809102205,org.eclipse.jst.servlet.ui,1232720917664
started,bundle,org.eclipse.jst.j2ee.ui,1.1.203.v200809102205,org.eclipse.jst.j2ee.ui,1232720918181
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1232720918904
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720921817
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1232720921846
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720927130
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720941764
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720944057
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720975827
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720979722
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720980775
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232720980875
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1232720981150
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1232720981152
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1232720981153
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1232720981156
